#,Zip Code,Location,City,Population,People / Sq. Mile,National Rank
1,77046,"29.733084, -95.430659","Houston, Texas",471,32343.09,#108
2,77081,"29.712099, -95.480935","Houston, Texas","49,691",15758.06,#308
3,77036,"29.699048, -95.536507","Houston, Texas","76,146",9851.11,#609
4,77006,"29.741003, -95.391271","Houston, Texas","18,875",8443.44,#754
5,77057,"29.744068, -95.489210","Houston, Texas","35,491",8037.23,#825
6,77074,"29.687947, -95.515725","Houston, Texas","39,159",7524.17,#918
7,77080,"29.815893, -95.522964","Houston, Texas","46,261",7330.65,#959
8,77035,"29.653039, -95.476515","Houston, Texas","39,571",7151.03,#993
9,77099,"29.670869, -95.585990","Houston, Texas","43,116",7031.01,"#1,026"
10,77072,"29.699688, -95.584817","Houston, Texas","51,716",6988.21,"#1,038"
11,77098,"29.734813, -95.416098","Houston, Texas","12,179",6876.35,"#1,066"
12,77009,"29.795344, -95.367590","Houston, Texas","42,380",6873.64,"#1,067"
13,77011,"29.742988, -95.307114","Houston, Texas","23,052",6365.95,"#1,216"
14,77076,"29.860021, -95.382184","Houston, Texas","30,030",6308.73,"#1,225"
15,77063,"29.736295, -95.523292","Houston, Texas","27,200",6303.11,"#1,227"
16,77002,"29.756845, -95.365652","Houston, Texas","13,289",6245.28,"#1,241"
17,77012,"29.717567, -95.275115","Houston, Texas","25,174",6129.95,"#1,270"
18,77005,"29.718435, -95.423555","Houston, Texas","23,338",6009.48,"#1,307"
19,77023,"29.721825, -95.318275","Houston, Texas","33,050",5899.24,"#1,350"
20,77042,"29.741325, -95.560254","Houston, Texas","36,282",5816.19,"#1,376"
21,77096,"29.674133, -95.478354","Houston, Texas","33,987",5651.04,"#1,439"
22,77071,"29.651669, -95.521998","Houston, Texas","25,021",5647.24,"#1,441"
23,77087,"29.685621, -95.304159","Houston, Texas","36,194",5487.76,"#1,506"
24,77022,"29.831590, -95.379553","Houston, Texas","31,781",5358.74,"#1,555"
25,77025,"29.688811, -95.434780","Houston, Texas","23,581",5357.5,"#1,556"
26,77083,"29.693991, -95.647830","Houston, Texas","52,061",5284.95,"#1,586"
27,77031,"29.652205, -95.546230","Houston, Texas","17,004",5281.37,"#1,590"
28,77019,"29.752702, -95.407379","Houston, Texas","15,640",5154.33,"#1,650"
29,77055,"29.796871, -95.491650","Houston, Texas","43,477",5065.67,"#1,682"
30,77004,"29.724893, -95.363752","Houston, Texas","30,379",4980.71,"#1,719"
31,77092,"29.830858, -95.474872","Houston, Texas","37,899",4703.35,"#1,866"
32,77033,"29.666880, -95.335133","Houston, Texas","27,676",4554.85,"#1,982"
33,77062,"29.575781, -95.134334","Houston, Texas","26,978",4547.68,"#1,986"
34,77079,"29.774523, -95.601071","Houston, Texas","30,887",4534.87,"#1,999"
35,77008,"29.798249, -95.416933","Houston, Texas","28,661",4426.36,"#2,055"
36,77030,"29.704849, -95.404429","Houston, Texas","10,984",4403.68,"#2,071"
37,77077,"29.749158, -95.620344","Houston, Texas","42,416",4372.92,"#2,088"
38,77060,"29.935512, -95.397624","Houston, Texas","36,306",4363.43,"#2,095"
39,77067,"29.952629, -95.446609","Houston, Texas","24,418",4331.38,"#2,117"
40,77088,"29.881487, -95.452619","Houston, Texas","47,739",4280.15,"#2,146"
41,77020,"29.773179, -95.314327","Houston, Texas","28,679",4144.61,"#2,235"
42,77027,"29.744002, -95.443213","Houston, Texas","14,217",4123.4,"#2,253"
43,77021,"29.697363, -95.358898","Houston, Texas","24,159",4097.41,"#2,271"
44,77056,"29.749035, -95.469021","Houston, Texas","14,031",4023.24,"#2,319"
45,77026,"29.800187, -95.328888","Houston, Texas","27,593",4011.31,"#2,326"
46,77018,"29.826448, -95.426267","Houston, Texas","26,397",3946.38,"#2,363"
47,77093,"29.863400, -95.341409","Houston, Texas","45,908",3863.79,"#2,420"
48,77003,"29.749563, -95.346265","Houston, Texas","9,195",3533.01,"#2,719"
49,77017,"29.692600, -95.252270","Houston, Texas","32,823",3519.71,"#2,729"
50,77089,"29.588469, -95.218012","Houston, Texas","36,450",3432.39,"#2,797"
51,77091,"29.853067, -95.435966","Houston, Texas","24,460",3415.57,"#2,808"
52,77065,"29.926556, -95.603242","Houston, Texas","27,070",3359.3,"#2,857"
53,77069,"29.986925, -95.524903","Houston, Texas","14,756",3263.2,"#2,960"
54,77043,"29.806532, -95.567179","Houston, Texas","24,470",3226.83,"#3,002"
55,77061,"29.647012, -95.276630","Houston, Texas","25,500",3167.5,"#3,042"
56,77066,"29.958498, -95.500223","Houston, Texas","27,638",3122.7,"#3,076"
57,77054,"29.680250, -95.404913","Houston, Texas","16,656",3058.98,"#3,143"
58,77082,"29.724490, -95.640002","Houston, Texas","36,201",2995.88,"#3,204"
59,77090,"30.008250, -95.438998","Houston, Texas","25,742",2872.76,"#3,354"
60,77086,"29.920445, -95.489262","Houston, Texas","19,815",2838.07,"#3,392"
61,77016,"29.863166, -95.298522","Houston, Texas","29,753",2837.66,"#3,394"
62,77034,"29.621703, -95.206676","Houston, Texas","26,342",2812.81,"#3,423"
63,77040,"29.876755, -95.532143","Houston, Texas","39,520",2809.85,"#3,425"
64,77024,"29.771991, -95.515453","Houston, Texas","32,746",2784.79,"#3,454"
65,77037,"29.891373, -95.390561","Houston, Texas","18,562",2772.79,"#3,467"
66,77014,"29.981209, -95.463971","Houston, Texas","20,706",2730.27,"#3,509"
67,77039,"29.911171, -95.341182","Houston, Texas","27,718",2727.42,"#3,513"
68,77095,"29.916055, -95.663077","Houston, Texas","39,275",2615.11,"#3,642"
69,77007,"29.771530, -95.414883","Houston, Texas","22,497",2605.95,"#3,649"
70,77068,"30.008830, -95.487234","Houston, Texas","9,505",2521.21,"#3,745"
71,77070,"29.979670, -95.572835","Houston, Texas","32,385",2513.33,"#3,756"
72,77015,"29.765809, -95.175116","Houston, Texas","50,569",2380.39,"#3,924"
73,77051,"29.663567, -95.375573","Houston, Texas","13,235",2330.43,"#3,988"
74,77064,"29.924216, -95.537411","Houston, Texas","35,966",2323.67,"#3,998"
75,77038,"29.918595, -95.441194","Houston, Texas","20,654",2249.32,"#4,091"
76,77075,"29.620420, -95.268939","Houston, Texas","22,423",1980.93,"#4,470"
77,77045,"29.637640, -95.425544","Houston, Texas","25,531",1962.21,"#4,503"
78,77053,"29.582750, -95.449620","Houston, Texas","25,428",1950.06,"#4,523"
79,77028,"29.825122, -95.286360","Houston, Texas","16,490",1888.04,"#4,620"
80,77013,"29.791808, -95.228991","Houston, Texas","18,378",1866.15,"#4,655"
81,77058,"29.561579, -95.099626","Houston, Texas","15,206",1751.24,"#4,832"
82,77084,"29.826860, -95.650860","Houston, Texas","63,557",1674.74,"#4,959"
83,77085,"29.626362, -95.488475","Houston, Texas","7,496",1498.87,"#5,258"
84,77078,"29.845618, -95.239696","Houston, Texas","14,479",1497.2,"#5,260"
85,77029,"29.764519, -95.265896","Houston, Texas","18,272",1444.11,"#5,346"
86,77048,"29.618714, -95.324221","Houston, Texas","14,267",1293.65,"#5,664"
87,77041,"29.857989, -95.585771","Houston, Texas","25,275",1213.79,"#5,849"
88,77010,"29.754310, -95.361109","Houston, Texas",76,1158.45,"#5,962"
89,77059,"29.615219, -95.134960","Houston, Texas","16,690",1130.03,"#6,018"
90,77073,"29.999296, -95.400207","Houston, Texas","12,787",982.62,"#6,379"
91,77047,"29.610638, -95.385224","Houston, Texas","11,112",785.65,"#6,955"
92,77049,"29.832928, -95.149040","Houston, Texas","16,598",705.59,"#7,245"
93,77094,"29.769285, -95.681292","Houston, Texas","7,779",588.84,"#7,723"
94,77050,"29.903351, -95.262070","Houston, Texas","4,357",540.03,"#7,953"
95,77032,"29.987805, -95.353412","Houston, Texas","10,796",539.87,"#7,956"
96,77044,"29.890649, -95.169294","Houston, Texas","13,340",321.64,"#9,463"
